"resource_type","display_name","region","lifecycle_state","compartment_id","ocid","time_created","freeform_tags","defined_tags","parent_compartment_id","is_accessible","description"
"Compartment","o-p-om2-cmp-cdin-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaanalnmbuht65cel33bkqu2aowgdi3hvfcqofq2q7tsod5jcurxpxq","ocid1.compartment.oc19..aaaaaaaavug4kpn4sdoskxdzgkfi2uvke26grr6gbxtvg2f3x6ve3ngs5jfq","2026-03-10T14:41:57.720000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:41:57.150Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-cdin-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""}}","ocid1.compartment.oc19..aaaaaaaanalnmbuht65cel33bkqu2aowgdi3hvfcqofq2q7tsod5jcurxpxq","True","Production Environment Compartment"
"Compartment","o-p-om2-cmp-exacs-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa6xwlxfjdyxcozp274vtvpp2ar5cahjmyljyxbb44wh726jjppm4q","ocid1.compartment.oc19..aaaaaaaaexcetgujt75cw4hxoyttqpq5lqqfe4zcutegmvlk5vwikibcf3na","2026-03-10T14:41:57.401000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:41:57.224Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-exacs-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""},""o-p-om2-tagns-name-001"":{""o-p-om2-tag-role-001"":""o-p-om2-tag-role-exa-001""}}","ocid1.compartment.oc19..aaaaaaaa6xwlxfjdyxcozp274vtvpp2ar5cahjmyljyxbb44wh726jjppm4q","True","Shared exacs Platform"
"Compartment","o-d-om2-cmp-cdin-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaanalnmbuht65cel33bkqu2aowgdi3hvfcqofq2q7tsod5jcurxpxq","ocid1.compartment.oc19..aaaaaaaas5tb4msd3rlj6luy7smtqmnybp3cm4sprqoya3v4fbqvycpe6ewq","2026-03-10T14:41:57.287000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:41:57.271Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""dev"",""iac"":""terraform"",""name"":""o-d-om2-cmp-cdin-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""}}","ocid1.compartment.oc19..aaaaaaaanalnmbuht65cel33bkqu2aowgdi3hvfcqofq2q7tsod5jcurxpxq","True","Non Production Environment Compartment"
"Compartment","o-p-om2-cmp-devop-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa6xwlxfjdyxcozp274vtvpp2ar5cahjmyljyxbb44wh726jjppm4q","ocid1.compartment.oc19..aaaaaaaapmdgp7bcad4vembnxe3t3iajxbpvztrlp3dk2p7y6xzwgnlbwslq","2026-03-10T14:41:57.224000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:41:57.221Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-devop-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""}}","ocid1.compartment.oc19..aaaaaaaa6xwlxfjdyxcozp274vtvpp2ar5cahjmyljyxbb44wh726jjppm4q","True","Shared devops Platform"
"Compartment","o-p-om2-cmp-logg-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa6xwlxfjdyxcozp274vtvpp2ar5cahjmyljyxbb44wh726jjppm4q","ocid1.compartment.oc19..aaaaaaaaljtgrfd42d76gps36ryevoufbxk3cns7ri7zfwjvlauu4bq6r3na","2026-03-10T14:41:57.153000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:41:57.152Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-logg-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""}}","ocid1.compartment.oc19..aaaaaaaa6xwlxfjdyxcozp274vtvpp2ar5cahjmyljyxbb44wh726jjppm4q","True","Shared Logging Platform"
"Compartment","o-p-om2-cmp-cdin-core-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa43gu35rhrbtmirjlkxilrma3v5s2bqzhico4up6jvstnluiud3oa","ocid1.compartment.oc19..aaaaaaaanalnmbuht65cel33bkqu2aowgdi3hvfcqofq2q7tsod5jcurxpxq","2026-03-10T14:41:37.960000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:41:37.680Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-cdin-core-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""}}","ocid1.compartment.oc19..aaaaaaaa43gu35rhrbtmirjlkxilrma3v5s2bqzhico4up6jvstnluiud3oa","True","Coretech Entity Environment Compartment"
"Compartment","o-p-om2-cmp-platform-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa43gu35rhrbtmirjlkxilrma3v5s2bqzhico4up6jvstnluiud3oa","ocid1.compartment.oc19..aaaaaaaa6xwlxfjdyxcozp274vtvpp2ar5cahjmyljyxbb44wh726jjppm4q","2026-03-10T14:41:37.777000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:41:37.677Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-platform-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""}}","ocid1.compartment.oc19..aaaaaaaa43gu35rhrbtmirjlkxilrma3v5s2bqzhico4up6jvstnluiud3oa","True","Shared Platform Compartment"
"Compartment","o-p-om2-cmp-network-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa43gu35rhrbtmirjlkxilrma3v5s2bqzhico4up6jvstnluiud3oa","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","2026-03-10T14:41:37.646000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:41:37.644Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-network-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""},""o-p-om2-tagns-name-001"":{""o-p-om2-tag-role-001"":""o-p-om2-tag-role-network-001""}}","ocid1.compartment.oc19..aaaaaaaa43gu35rhrbtmirjlkxilrma3v5s2bqzhico4up6jvstnluiud3oa","True","Shared Network Compartment"
"Compartment","o-p-om2-cmp-security-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaa43gu35rhrbtmirjlkxilrma3v5s2bqzhico4up6jvstnluiud3oa","ocid1.compartment.oc19..aaaaaaaayw5yjsj6mh5smp5piyjpjelequhd777a66psqqoxcw7czj4dyiua","2026-03-10T14:41:35.542000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:41:35.537Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-security-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""},""o-p-om2-tagns-name-001"":{""o-p-om2-tag-role-001"":""o-p-om2-tag-role-security-001""}}","ocid1.compartment.oc19..aaaaaaaa43gu35rhrbtmirjlkxilrma3v5s2bqzhico4up6jvstnluiud3oa","True","Shared Security Compartment"
"Compartment","o-p-om2-cmp-land-001",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.compartment.oc19..aaaaaaaa43gu35rhrbtmirjlkxilrma3v5s2bqzhico4up6jvstnluiud3oa","2026-03-10T14:41:08.883000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:41:08.872Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-land-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""}}","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","True","Enclosing Production Landing Zone Compartment"
